"county_name","state_name","population_size","percent_1to9","percent_10to14","percent_15to19","percent_20to34","percent_35to44","percent_45to64","percent_65plus","median_household_income","median_houshold_year_round_incomes","percent_25year_above_high_school","percent_25year_above_professional_diploma","percent_25year_above_bachelors_degree","percent_25year_above_bacholors_above","management_business_science_arts","service_occupations","sales_office_occupation","naturalresources_construction_maintenance","production_transportation_materialmoving","median_age","avg_house_hold_size"
"Maui County"," Hawaii","167218","11.7","6.4","5.9","16.9","26.8","14.1","15.9","35951","93102","32.1","19","10.4","29.5","30","28.1","20.5","9.3","12.1","41.1","4"
"DuPage County"," Illinois","928589","12.3","6.3","6.5","18.9","26.5","14","13.5","45458","128555","18.2","30.7","19.9","50.6","47.4","12.2","23.6","5.4","11.4","39.5","3"
"Kane County"," Illinois","534216","13.4","7.3","7.5","18.1","27.5","12.5","12.3","36528","102053","23.1","20.6","12.7","33.2","33.9","15.8","23.5","8","18.7","37.7","3"
"Kendall County"," Illinois","127915","16.2","8.5","7.4","17.6","30.2","9.6","9","42489","115423","25.5","21.6","14.6","36.2","40.6","13.9","27.4","8.2","9.9","35.2","4"
"Allen County"," Indiana","375351","14","7.4","6.8","20.7","24.4","12.4","12.9","31296","84815","27.8","18.6","10.2","28.8","33","16.7","23","6.7","20.6","36.1","3"
"Lake County"," Indiana","484411","12.2","7","6.7","18.4","25.4","13.8","14.3","35270","94402","37.2","14.9","7.8","22.7","30","18.6","22.4","9.6","19.4","39.1","3"
"Daviess County"," Kentucky","101104","12.9","7.6","6.6","18.6","24.2","13.3","15","30559","80721","34","13.7","9","22.6","32.2","19.5","23.4","8.8","16.1","38","3"
"Oldham County"," Kentucky","66470","12.6","8.5","7.5","15.5","30","13.1","12","45203","130914","18.8","24.8","19.7","44.5","45.2","13.6","21.8","6.1","13.2","39.2","3"
"Ascension Parish"," Louisiana","124672","14.6","7.7","6.6","19.7","28.4","11.4","10.1","46321","116532","30.2","18.8","8.5","27.3","37.7","12.5","20.9","13.6","15.3","35.8","3"
"Cumberland County"," Maine","293557","10.1","5.1","5.8","19.6","26.1","15","16.1","39128","104643","20","29.7","19.5","49.2","47.8","16.6","20.4","6.2","9","42.1","3"
"Essex County"," Massachusetts","790638","11.1","6.3","6.6","18.8","25.8","14.3","14.4","40296","118376","24.7","23.7","16.5","40.2","42","17.6","20.2","7.4","12.7","41.1","3"
"Bay County"," Michigan","103923","11.2","4.9","6.6","17.3","24","15.9","17.2","29674","88173","35.4","12.3","7.1","19.4","30.9","22","21.4","11.8","13.9","43.3","3"
"Van Buren County"," Michigan","75448","12.5","6","6.8","15.8","25.2","15","16.9","31313","81839","32","13.3","7.5","20.8","25.6","19.5","21.5","13.4","20.1","42.2","3"
"Washtenaw County"," Michigan","370963","9.7","5.4","9.1","27.5","23","11.3","12.3","32044","119406","14.4","27.2","29.2","56.4","53.4","17.4","17.1","3.6","8.6","33.6","3"
"Wayne County"," Michigan","1753893","12.9","6.6","6.4","20.5","24.7","13.4","13.5","31449","91133","29.8","15.1","10","25.1","33.1","19.6","21","6.7","19.6","38.1","3"
"Madison County"," Mississippi","105630","13.5","7.3","7.6","18.5","26.5","13.5","11.4","38947","107833","14.8","30.9","24.3","55.1","52.5","13.2","17.8","5.3","11.2","37.3","3"
"Buchanan County"," Missouri","88571","11.7","7.2","5.5","20.3","24.8","13.7","14.6","31056","82019","37.9","15.9","6","21.9","26.7","13.9","22.9","8.9","27.7","39.2","3"
"Greene County"," Missouri","291923","11.5","6","6.7","23.9","23.4","11.9","14.5","30767","77170","27.9","17.5","10.9","28.4","39.6","17.5","22.7","8","12.3","36.6","3"
"Platte County"," Missouri","102985","12.1","7.5","5.9","19.1","27.9","12.9","13.3","41504","106335","23.8","25.9","15.3","41.2","44.3","15.6","19.4","5.2","15.5","38.1","3"
"Washoe County"," Nevada","465735","12.1","6","5.9","21.6","24.8","13.2","14.8","35391","92391","24.1","19.3","11.9","31.1","35.7","19.3","21.6","8.8","14.6","38.4","3"
"Merrimack County"," New Hampshire","151132","9.2","6.1","6.3","18.6","25.5","15.4","16.2","38366","97673","30","18.3","16.6","34.9","39.6","18.4","20.6","8.5","12.9","43.4","3"
